id,tweet,clean_tweet,predicted_label,sentiment_predicted
7922.0,currently shitting my fucking pants. #apple #iMac #cashmoney #raddest #swagswagswag http://instagr.am/p/UUIS0bIBZo/,current shit fuck pant #appl #imac #cashmoney #raddest #swagswagswag,0,positive emotion
7923.0,"I'd like to puts some CD-ROMS on my iPad, is that possible?'  Yes, but wouldn't that block the screen?
",like put some rom ipad that possibl wouldn that block screen,0,positive emotion
7924.0,"My ipod is officially dead. I lost all my pictures and videos from the 1D and 5sos concert,and from Vet Camp #hatinglife #sobbing",ipod offici dead lost pictur video from concert from camp #hatinglif #sob,0,positive emotion
7925.0,Been fighting iTunes all night! I only want the music I $&@*# paid for,been fight itun night onli want music paid,0,positive emotion
7926.0,#Repost @getbakednfried with repostapp ··· to announce we will have our #apple #bourbon https://www.instagram.com/p/BK5okHOgWSS/,#repost with repostapp announc will have #appl #bourbon,0,positive emotion
7927.0,This new apple software update is really doing things to my phone. Bad things apple,thi appl softwar updat realli do thing phone thing appl,0,positive emotion
7928.0,BABY #iPhone #iphone6s #gold #new #apple #appleisbest #64GB #gegönnt #aaaaah https://www.instagram.com/p/BAUx8eQtKez/,babi #iphon #iphon #gold #new #appl #appleisbest #geg #aaaaah,0,positive emotion
7929.0,I'm confused...why did I have to take the time to set a appointment. To still be waiting her 45 minutes after the fact,confus have take time appoint still wait minut after fact,0,positive emotion
7930.0,Fruit just tastes better when you pick it yourself. #apple #healthy #fruit #nyc by  http://ift.tt/1RI7dyo pic.twitter.com/ZuO9tHmEK3,fruit just tast better when pick yourself #appl #healthi #fruit #nyc twitter thmek,0,positive emotion
7931.0,Con mi buddy#edgar #buddy #friend #viviendo #taller #friendly #hug #sony #smile #sonrisa http://instagram.com/p/fasVZruzQI/,buddy#edgar #buddi #friend #viviendo #taller #friendli #hug #soni #smile #sonrisa,0,positive emotion
7932.0,#MyMomIsGreatBecause she always care about me! And do anything for me #FOLLOW #MothersDay #MustFollow mothersday #iPhone #tweet,#mymomisgreatbecaus alway care about anyth #follow #mothersday #mustfollow mothersday #iphon #tweet,0,positive emotion
7933.0,"#kiss,,#romance,#hot,#movie,#iphone,#sex,#porn Lustful Mature Woman Is Getting Nailed Intensively In A Mission http://bit.ly/SPBTUR",#kiss #romanc #hot #movi #iphon #sex #porn lust matur woman get nail intens mission,0,positive emotion
